User-ID,User-City,User-State,User-Country,User-Age,User-Age-Bin,User-City_Encoded,User-State_Encoded,User-Country_Encoded,User-Age-Encoded
243,arden hills,others,usa,-1,others,313,23,6,0
244,college station,texas,usa,-1,others,1743,28,6,0
254,minneapolis,others,usa,24,20~40,5272,23,6,25
256,boston,others,usa,-1,others,918,23,6,0
257,quit,others,others,-1,others,6807,23,3,0
272,walla walla,washington,usa,20,0~20,8836,32,6,21
280,yakima,washington,usa,-1,others,9376,32,6,0
291,ft. collins,others,usa,-1,others,2925,23,6,0
300,newport news,others,usa,-1,others,5814,23,6,0
326,parkville,others,usa,-1,others,6348,23,6,0
332,lake oswego,others,usa,59,40~60,4387,23,6,60
334,jyväskylä,n/a,others,27,20~40,4021,16,3,28
337,málaga,n/a,spain,17,0~20,5594,16,4,18
339,tampere,others,others,20,0~20,8264,23,3,21
356,leesburg,others,usa,-1,others,4537,23,6,0
361,premià de dalt,barcelona,spain,25,20~40,6707,2,4,26
362,thunder bay,ontario,canada,63,60~80,8385,22,1,64
367,culver city,california,usa,45,40~60,1963,5,6,46
372,bamberg,bayern,germany,22,20~40,494,3,2,23
383,carmichael,california,usa,-1,others,1328,5,6,0
387,charity,others,usa,17,0~20,1491,23,6,18
388,nashville,others,usa,35,20~40,5672,23,6,36
408,mountain view,california,usa,17,0~20,5487,5,6,18
413,naperville,others,usa,17,0~20,5655,23,6,18
424,portland,others,usa,29,20~40,6666,23,6,30
430,silver spring,others,usa,-1,others,7658,23,6,0
431,ridgway,others,usa,40,20~40,6973,23,6,41
433,smock,others,usa,48,40~60,7716,23,6,49
440,brookfield,others,usa,16,0~20,1053,23,6,17
441,spokane,washington,usa,-1,others,7860,32,6,0
444,sweet home,others,usa,40,20~40,8213,23,6,41
446,chevy chase,others,usa,-1,others,1554,23,6,0
453,charleston,others,usa,-1,others,1494,23,6,0
460,roma,others,others,-1,others,7074,23,3,0
476,rome,new york,usa,-1,others,7076,18,6,0
486,portland,others,usa,31,20~40,6666,23,6,32
487,houston,texas,usa,-1,others,3767,28,6,0
493,manhattan,others,usa,29,20~40,4933,23,6,30
494,parry sound,ontario,canada,-1,others,6354,22,1,0
496,west salem,others,usa,51,40~60,9062,23,6,52
499,la verne,california,usa,62,60~80,4321,5,6,63
503,el centro,california,usa,40,20~40,2429,5,6,41
505,washington,others,usa,51,40~60,8894,23,6,52
507,dumas,others,usa,-1,others,2260,23,6,0
508,portland,others,usa,29,20~40,6666,23,6,30
512,winter springs,florida,usa,58,40~60,9272,8,6,59
513,savannah,others,usa,-1,others,7417,23,6,0
523,bozeman,others,usa,19,0~20,950,23,6,20
565,franklin,others,usa,48,40~60,2853,23,6,49
566,springfield,others,usa,-1,others,7878,23,6,0
567,spokane,washington,usa,-1,others,7860,32,6,0
592,boston,others,usa,-1,others,918,23,6,0
595,hollywood,florida,usa,17,0~20,3693,8,6,18
596,san francisco,california,usa,49,40~60,7294,5,6,50
619,long beach,others,usa,-1,others,4737,23,6,0
620,toronto,ontario,canada,45,40~60,8444,22,1,46
625,marseille,others,others,41,40~60,5013,23,3,42
626,graz,others,others,41,40~60,3233,23,3,42
628,berlin,others,germany,-1,others,709,23,2,0
638,san diego,california,usa,20,0~20,7287,5,6,21
639,washington dc,others,usa,-1,others,8898,23,6,0
640,scotch village,nova scotia,canada,-1,others,7470,21,1,0
641,portland,others,usa,-1,others,6666,23,6,0
643,grenoble,others,others,23,20~40,3274,23,3,24
649,san diego,california,usa,-1,others,7287,5,6,0
650,santa cruz,california,usa,-1,others,7363,5,6,0
651,interlachen,florida,usa,26,20~40,3888,8,6,27
657,chattanooga,others,usa,-1,others,1510,23,6,0
660,ny,new york,usa,-1,others,6023,18,6,0
677,baton rouge,others,usa,27,20~40,561,23,6,28
683,union,others,usa,28,20~40,8580,23,6,29
685,stevens point,others,usa,21,20~40,8053,23,6,22
695,alphen aan den rijn,others,others,-1,others,195,23,3,0
709,roanoke,others,usa,14,0~20,7019,23,6,15
712,pratteln,others,others,29,20~40,6705,23,3,30
713,abingdon,n/a,united kingdom,49,40~60,53,16,5,50
714,austin,texas,usa,-1,others,403,28,6,0
717,spring hill,florida,usa,-1,others,7870,8,6,0
726,eatontown,others,usa,31,20~40,2374,23,6,32
728,welsh,others,usa,-1,others,8983,23,6,0
735,cortland,new york,usa,29,20~40,1861,18,6,30
741,novinger,others,usa,16,0~20,6005,23,6,17
744,ocala,florida,usa,48,40~60,6065,8,6,49
746,longmont,others,usa,36,20~40,4743,23,6,37
753,stockton,california,usa,-1,others,8072,5,6,0
756,scranton,others,usa,-1,others,7483,23,6,0
757,philadelphia,others,usa,29,20~40,6460,23,6,30
758,duesseldorf,others,germany,-1,others,2256,23,2,0
759,primm springs,others,usa,-1,others,6715,23,6,0
763,oakland,california,usa,-1,others,6045,5,6,0
765,york,others,usa,-1,others,9402,23,6,0
769,birmingham,others,usa,-1,others,782,23,6,0
771,ft. sill,others,usa,38,20~40,2932,23,6,39
774,wentzville,others,usa,16,0~20,8992,23,6,17
776,auckland,n/a,others,23,20~40,394,16,3,24
777,portland,others,usa,13,0~20,6666,23,6,14
778,bradenton,florida,usa,-1,others,955,8,6,0
780,woodland hills,california,usa,-1,others,9325,5,6,0
785,burbank,california,usa,-1,others,1129,5,6,0
786,panhandle,texas,usa,48,40~60,6325,28,6,49
805,sonoma,california,usa,34,20~40,7766,5,6,35
818,selangor,others,others,-1,others,7519,23,3,0
819,deer park,new york,usa,-1,others,2060,18,6,0
824,albuquerque,others,usa,15,0~20,135,23,6,16
827,mason city,others,usa,-1,others,5032,23,6,0
828,albuquerque,others,usa,35,20~40,135,23,6,36
834,rockville,others,usa,17,0~20,7053,23,6,18
843,deer lodge,others,usa,25,20~40,2058,23,6,26
850,bremen,others,germany,22,20~40,992,23,2,23
853,chesterfield,others,usa,24,20~40,1546,23,6,25
882,berkeley,california,usa,23,20~40,704,5,6,24
883,brookfield,others,usa,43,40~60,1053,23,6,44
886,bozeman,others,usa,-1,others,950,23,6,0
887,castaic,california,usa,30,20~40,1374,5,6,31
896,-,wales,united kingdom,27,20~40,3,31,5,28
899,bielefeld,nordrhein-westfalen,germany,23,20~40,754,20,2,24
900,scranton,others,usa,25,20~40,7483,23,6,26
901,worcester,others,united kingdom,21,20~40,9344,23,5,22
902,overland,others,usa,18,0~20,6239,23,6,19
903,los angeles,california,usa,19,0~20,4761,5,6,20
913,manchester,others,united kingdom,44,40~60,4924,23,5,45
915,humble,texas,usa,50,40~60,3793,28,6,51
929,king of prussia,others,usa,36,20~40,4183,23,6,37
938,calgary,alberta,canada,55,40~60,1214,0,1,56
941,bend,others,usa,-1,others,676,23,6,0
951,aglaura,others,usa,-1,others,86,23,6,0
965,las cruces,others,usa,24,20~40,4466,23,6,25
969,river forest,others,usa,13,0~20,7003,23,6,14
973,eugene,others,usa,-1,others,2590,23,6,0
999,newark,others,usa,21,20~40,5789,23,6,22
1003,tequesta,florida,usa,-1,others,8324,8,6,0
1008,boston,others,usa,-1,others,918,23,6,0
1009,delano,others,usa,56,40~60,2077,23,6,57
1010,silver spring,others,usa,26,20~40,7658,23,6,27
1016,clementon,others,usa,-1,others,1652,23,6,0
1019,san diego,california,usa,-1,others,7287,5,6,0
1021,rowland,others,usa,-1,others,7134,23,6,0
1022,newport news,others,usa,-1,others,5814,23,6,0
1024,charles town,others,usa,-1,others,1493,23,6,0
1025,maidstone,england,united kingdom,33,20~40,4891,7,5,34
1031,sparks,others,usa,52,40~60,7847,23,6,53
1032,lockhart,texas,usa,-1,others,4707,28,6,0
1038,dallas,texas,usa,26,20~40,1994,28,6,27
1040,los angeles,california,usa,-1,others,4761,5,6,0
1048,oakville,ontario,canada,22,20~40,6054,22,1,23
1054,burnsville,others,usa,37,20~40,1151,23,6,38
1057,norwich,others,united kingdom,19,0~20,5993,23,5,20
1060,lincoln,others,usa,38,20~40,4641,23,6,39
1063,edmonton,alberta,canada,19,0~20,2405,0,1,20
1075,hurst,texas,usa,49,40~60,3814,28,6,50
1079,eugene,others,usa,-1,others,2590,23,6,0
1082,rochester,washington,usa,36,20~40,7032,32,6,37
1083,newport news,others,usa,-1,others,5814,23,6,0
1093,needham,others,usa,-1,others,5698,23,6,0
1108,fairbanks,others,usa,-1,others,2625,23,6,0
1111,london,ontario,canada,-1,others,4732,22,1,0
1113,richmond,others,usa,22,20~40,6958,23,6,23
1116,calgary,alberta,canada,29,20~40,1214,0,1,30
1118,cleveland,others,usa,-1,others,1660,23,6,0
1129,bothell,washington,usa,53,40~60,919,32,6,54
1131,berkeley,california,usa,22,20~40,704,5,6,23
1133,kingswood,south australia,australia,46,40~60,4196,27,0,47
1140,bridgewater,others,usa,19,0~20,1013,23,6,20
1150,jericho,others,usa,25,20~40,3975,23,6,26
1155,smyrna,others,usa,22,20~40,7718,23,6,23
1161,brier,washington,usa,-1,others,1017,32,6,0
1164,woburn,others,usa,35,20~40,9292,23,6,36
1166,nantes,others,others,22,20~40,5646,23,3,23
1167,milwaukee,others,usa,25,20~40,5262,23,6,26
1169,olympia,washington,usa,27,20~40,6139,32,6,28
1178,heidelberg,baden-wuerttemberg,germany,9,0~20,3533,1,2,10
1180,storrs,others,usa,23,20~40,8087,23,6,24
1184,la mirada,california,usa,38,20~40,4310,5,6,39
1200,westfield,others,usa,-1,others,9088,23,6,0
1210,new york,new york,usa,-1,others,5787,18,6,0
1211,rennes,others,others,22,20~40,6916,23,3,23
1214,speicher,others,germany,30,20~40,7852,23,2,31
1219,taiping,others,others,17,0~20,8245,23,3,18
1223,orlando,florida,usa,-1,others,6188,8,6,0
1234,barbera del valles,barcelona,spain,25,20~40,508,2,4,26
1235,salt spring island,british columbia,canada,-1,others,7260,4,1,0
1248,dixon,california,usa,-1,others,2175,5,6,0
1249,surrey,british columbia,canada,-1,others,8186,4,1,0
1250,arlington,others,usa,44,40~60,322,23,6,45
1252,la,california,usa,-1,others,4290,5,6,0
1254,16605 bennington ct,others,usa,26,20~40,13,23,6,27
1259,whistler,british columbia,canada,29,20~40,9132,4,1,30
1261,el paso,texas,usa,46,40~60,2439,28,6,47
1264,antelope,california,usa,-1,others,276,5,6,0
1267,salem,others,usa,-1,others,7246,23,6,0
1279,long beach,california,usa,-1,others,4737,5,6,0
1281,london,england,united kingdom,32,20~40,4732,7,5,33
1293,haddon twp,others,usa,-1,others,3359,23,6,0
1294,victoria,british columbia,canada,-1,others,8735,4,1,0
1297,los gatos,california,usa,30,20~40,4764,5,6,31
1309,walker,others,usa,28,20~40,8830,23,6,29
1330,swisttal,nordrhein-westfalen,germany,-1,others,8221,20,2,0
1331,lisboa,n/a,others,32,20~40,4663,16,3,33
1343,bishop auckland,england,united kingdom,33,20~40,786,7,5,34
1361,wiesbaden,hessen,germany,-1,others,9184,9,2,0
1368,hopewell,others,usa,22,20~40,3737,23,6,23
1372,frankfurt,hessen,germany,34,20~40,2848,9,2,35
1375,dinwiddie,others,usa,59,40~60,2172,23,6,60
1376,peoria,others,usa,-1,others,6418,23,6,0
1377,swansea,others,usa,20,0~20,8206,23,6,21
1389,trenton,others,usa,22,20~40,8477,23,6,23
1395,santa monica,california,usa,-1,others,7370,5,6,0
1396,santa barbara,california,usa,35,20~40,7357,5,6,36
1399,york,others,usa,41,40~60,9402,23,6,42
1403,virginia beach,others,usa,26,20~40,8768,23,6,27
1409,farmington hills,others,usa,74,60~80,2668,23,6,75
1410,amherst,new york,usa,22,20~40,236,18,6,23
1412,winston-salem,others,usa,47,40~60,9267,23,6,48
1417,fort collins,others,usa,-1,others,2784,23,6,0
1424,north avoca,new south wales,australia,-1,others,5891,17,0,0
1427,mililani,others,usa,22,20~40,5235,23,6,23
1433,woodbridge,california,usa,54,40~60,9316,5,6,55
1434,bethel,others,usa,-1,others,731,23,6,0
1435,st. louis,others,usa,36,20~40,7968,23,6,37
1436,sault ste. marie,ontario,canada,-1,others,7412,22,1,0
1439,tilley,alberta,canada,-1,others,8396,0,1,0
1442,paris,ile de france,others,36,20~40,6335,10,3,37
1448,la mesa,california,usa,61,60~80,4309,5,6,62
1455,chehalis,washington,usa,-1,others,1516,32,6,0
1485,allendale,others,usa,30,20~40,174,23,6,31
1486,montmorency,victoria,australia,75,60~80,5374,30,0,76
1489,somerville,others,usa,20,0~20,7759,23,6,21
1491,sheffield,england,united kingdom,22,20~40,7583,7,5,23
1499,lawrence,others,usa,-1,others,4501,23,6,0
1500,brighton,england,united kingdom,-1,others,1019,7,5,0
1504,iowa city,others,usa,-1,others,3899,23,6,0
1511,cuyahoga falls,others,usa,25,20~40,1973,23,6,26
1513,oak hill,others,usa,40,20~40,6036,23,6,41
1515,bloomington,others,usa,27,20~40,840,23,6,28
1519,raleigh,others,usa,61,60~80,6827,23,6,62
1530,hartsdale,new york,usa,26,20~40,3464,18,6,27
1535,virginia beach,others,usa,69,60~80,8768,23,6,70
1539,calgary,alberta,canada,-1,others,1214,0,1,0
1548,brooklyn,new york,usa,28,20~40,1060,18,6,29
1550,des moines,washington,usa,-1,others,2124,32,6,0
1554,lincoln,others,usa,29,20~40,4641,23,6,30
1558,normal,others,usa,61,60~80,5879,23,6,62
1559,manchester,others,usa,-1,others,4924,23,6,0
1570,brooklyn,new york,usa,28,20~40,1060,18,6,29
1585,albuquerque,others,usa,29,20~40,135,23,6,30
1586,north muskegon,others,united kingdom,14,0~20,5931,23,5,15
1589,clio,others,usa,50,40~60,1681,23,6,51
1591,flensburg,others,germany,24,20~40,2726,23,2,25
1596,jackson,others,usa,51,40~60,3937,23,6,52
1597,west columbia,texas,usa,23,20~40,9012,28,6,24
1608,collingswood,others,usa,27,20~40,1750,23,6,28
1617,chicago,others,usa,24,20~40,1559,23,6,25
1619,visalia,california,usa,-1,others,8770,5,6,0
1641,winston salem,others,usa,22,20~40,9266,23,6,23
1650,victoria,british columbia,canada,-1,others,8735,4,1,0
1652,new york,new york,usa,-1,others,5787,18,6,0
1660,fort worth,texas,usa,-1,others,2821,28,6,0
1674,minneapolis,others,usa,26,20~40,5272,23,6,27
1688,chelmsford,england,united kingdom,53,40~60,1519,7,5,54
1696,las palmas gc,others,spain,34,20~40,4471,23,4,35
1706,olympia,washington,usa,26,20~40,6139,32,6,27
1718,framingham,others,usa,28,20~40,2843,23,6,29
1719,sg,others,others,-1,others,7560,23,3,0
1721,windsor,ontario,canada,21,20~40,9245,22,1,22
1725,palma,others,united kingdom,25,20~40,6298,23,5,26
1730,el paso,texas,usa,33,20~40,2439,28,6,34
1733,independence,others,usa,30,20~40,3856,23,6,31
1759,hollywood,florida,usa,29,20~40,3693,8,6,30
1768,newington,others,usa,25,20~40,5807,23,6,26
1773,northridge,california,usa,16,0~20,5984,5,6,17
1775,albuquerque,others,usa,14,0~20,135,23,6,15
1790,chicago,others,usa,25,20~40,1559,23,6,26
1791,harrisburg,others,usa,-1,others,3447,23,6,0
1792,hutchinson,others,usa,-1,others,3817,23,6,0
1803,northville,new york,usa,48,40~60,5987,18,6,49
1805,euless,texas,usa,-1,others,2591,28,6,0
1812,provo,others,usa,24,20~40,6742,23,6,25
1838,glens falls,new york,usa,-1,others,3113,18,6,0
1841,washington dc,others,usa,-1,others,8898,23,6,0
1846,strasbourg,others,others,25,20~40,8097,23,3,26
1848,bellingham,washington,usa,22,20~40,649,32,6,23
1859,sackville,others,canada,-1,others,7198,23,1,0
1863,feucht,bayern,germany,43,40~60,2700,3,2,44
1869,westfield,others,usa,21,20~40,9088,23,6,22
1881,binghamton,new york,usa,31,20~40,773,18,6,32
1892,fort wayne,others,usa,47,40~60,2819,23,6,48
1898,waukegan,others,usa,47,40~60,8929,23,6,48
1901,vancouver,british columbia,canada,-1,others,8675,4,1,0
1903,hualien,others,others,36,20~40,3777,23,3,37
1905,baton rouge,others,usa,-1,others,561,23,6,0
1915,louisville,others,usa,-1,others,4776,23,6,0
1918,london,england,united kingdom,23,20~40,4732,7,5,24
1928,kansas city,others,usa,17,0~20,4053,23,6,18
1933,honolulu,others,usa,-1,others,3722,23,6,0
1937,bozeman,others,usa,42,40~60,950,23,6,43
1945,wrightsville beach,others,usa,54,40~60,9354,23,6,55
1947,ottawa,ontario,canada,-1,others,6226,22,1,0
1949,wilmington,others,usa,-1,others,9229,23,6,0
1951,karlsruhe,others,germany,28,20~40,4062,23,2,29
1978,saint louis,others,usa,-1,others,7226,23,6,0
1989,phoenix,others,usa,27,20~40,6467,23,6,28
1996,sydney,new south wales,australia,34,20~40,8224,17,0,35
2010,colfax,others,usa,-1,others,1735,23,6,0
2012,bray,others,others,34,20~40,983,23,3,35
2018,edson,alberta,canada,21,20~40,2408,0,1,22
2019,carcavelos,n/a,others,29,20~40,1309,16,3,30
2030,seabeck,washington,usa,31,20~40,7486,32,6,32
2033,omaha,others,usa,27,20~40,6141,23,6,28
2035,longwood,florida,usa,15,0~20,4746,8,6,16
2036,frenchtown,others,usa,49,40~60,2882,23,6,50
2041,playa del rey,california,usa,-1,others,6550,5,6,0
2060,pennsauken,new york,usa,54,40~60,6412,18,6,55
2063,raleigh,others,usa,-1,others,6827,23,6,0
2070,pembroke pines,florida,usa,22,20~40,6400,8,6,23
2075,bonn,nordrhein-westfalen,germany,29,20~40,893,20,2,30
2084,logroño,others,spain,21,20~40,4719,23,4,22
2089,lynchburg,others,usa,-1,others,4832,23,6,0
2090,dudley,others,usa,28,20~40,2255,23,6,29
2097,arlington,others,usa,-1,others,322,23,6,0
2099,tucson,others,usa,-1,others,8518,23,6,0
2103,minneapolis,others,usa,43,40~60,5272,23,6,44
2105,new smyrna beach,florida,usa,-1,others,5780,8,6,0
2106,denver,others,usa,44,40~60,2113,23,6,45
2108,houston,texas,usa,-1,others,3767,28,6,0
2109,winnipeg,others,canada,-1,others,9260,23,1,0
2110,charlotte,others,usa,-1,others,1496,23,6,0
2115,escondido,california,usa,55,40~60,2558,5,6,56
2116,parrsboro,nova scotia,canada,-1,others,6353,21,1,0
2119,hartford,others,usa,-1,others,3458,23,6,0
2127,high point,others,usa,-1,others,3618,23,6,0
2132,hammond,others,usa,-1,others,3400,23,6,0
2134,oakland,california,usa,35,20~40,6045,5,6,36
2135,irvine,california,usa,-1,others,3912,5,6,0
2136,salem,others,usa,45,40~60,7246,23,6,46
2139,chesapeake,others,usa,33,20~40,1538,23,6,34
2147,las vegas,others,usa,35,20~40,4474,23,6,36
2148,los angeles,california,usa,-1,others,4761,5,6,0
2152,grosse pointe,others,usa,1,0~20,3294,23,6,2
2169,hollister,california,usa,-1,others,3689,5,6,0
2170,kassel,hessen,germany,29,20~40,4068,9,2,30
2172,quezon city,n/a,others,17,0~20,6801,16,3,18
2178,linden,others,usa,-1,others,4648,23,6,0
2179,sunderland,others,usa,30,20~40,8170,23,6,31
2181,montreal,quebec,canada,15,0~20,5380,24,1,16
2183,burnaby,british columbia,canada,-1,others,1148,4,1,0
2189,montreal,quebec,canada,24,20~40,5380,24,1,25
2190,lenexa,others,usa,29,20~40,4568,23,6,30
2198,philadelphia,others,usa,-1,others,6460,23,6,0
2199,launceston,others,australia,25,20~40,4487,23,0,26
2203,woking,others,united kingdom,40,20~40,9297,23,5,41
2204,el cajon,california,usa,-1,others,2427,5,6,0
2216,münster,nordrhein-westfalen,germany,-1,others,5607,20,2,0
2218,stratham,others,usa,48,40~60,8101,23,6,49
2222,aptos,california,usa,-1,others,301,5,6,0
2224,paris,ile de france,others,23,20~40,6335,10,3,24
2230,harpers ferry,others,usa,44,40~60,3442,23,6,45
2238,san diego,california,usa,34,20~40,7287,5,6,35
2250,charlotte,others,usa,-1,others,1496,23,6,0
2253,saskatoon,others,canada,-1,others,7401,23,1,0
2255,charlottesville,others,usa,35,20~40,1499,23,6,36
2271,mooresville,others,usa,-1,others,5397,23,6,0
2276,niskayuna,new york,usa,46,40~60,5854,18,6,47
2281,vancouver,washington,usa,30,20~40,8675,32,6,31
2287,north chili,new york,usa,35,20~40,5904,18,6,36
2288,spring hill,others,usa,30,20~40,7870,23,6,31
2292,brighton,others,usa,-1,others,1019,23,6,0
2295,el sobrante,california,usa,21,20~40,2442,5,6,22
2296,wenatchee,washington,usa,61,60~80,8987,32,6,62
2312,roanoke,others,usa,-1,others,7019,23,6,0
2313,cincinnati,others,usa,23,20~40,1607,23,6,24
2326,porto,others,others,23,20~40,6667,23,3,24
2333,ocean city,others,usa,-1,others,6068,23,6,0
2337,grove city,others,usa,34,20~40,3304,23,6,35
2340,st. louis,others,usa,29,20~40,7968,23,6,30
2345,london,england,united kingdom,55,40~60,4732,7,5,56
2350,st. louis,others,usa,24,20~40,7968,23,6,25
2354,ottawa,ontario,canada,-1,others,6226,22,1,0
2355,gatineau,quebec,canada,-1,others,3005,24,1,0
2357,philadelphia,others,usa,35,20~40,6460,23,6,36
2358,bryan,texas,usa,23,20~40,1093,28,6,24
2363,mountain home,others,usa,42,40~60,5483,23,6,43
2366,lathrup village,others,usa,16,0~20,4478,23,6,17
2375,norfolk,others,usa,20,0~20,5878,23,6,21
2376,bay village,others,usa,38,20~40,575,23,6,39
2379,london,england,united kingdom,-1,others,4732,7,5,0
2385,london,ontario,canada,-1,others,4732,22,1,0
2388,hawley,others,usa,64,60~80,3499,23,6,65
2399,kent,others,usa,32,20~40,4129,23,6,33
2404,new york,new york,usa,-1,others,5787,18,6,0
2411,lake city,florida,usa,37,20~40,4368,8,6,38
2414,edenhope,victoria,australia,-1,others,2388,30,0,0
2416,seville,n/a,spain,21,20~40,7554,16,4,22
2417,lakeland,florida,usa,35,20~40,4403,8,6,36
2421,durban,others,others,-1,others,2286,23,3,0
2437,san antonio,texas,usa,45,40~60,7277,28,6,46
2439,atlanta,others,usa,26,20~40,380,23,6,27
2442,torino,others,others,25,20~40,8442,23,3,26
2448,birmingham,england,united kingdom,-1,others,782,7,5,0
2453,independence,others,usa,-1,others,3856,23,6,0
2461,san francisco,california,usa,59,40~60,7294,5,6,60
2462,kingston,others,usa,-1,others,4192,23,6,0
2466,olathe,others,usa,-1,others,6113,23,6,0
2470,phoenix,others,usa,22,20~40,6467,23,6,23
2481,st. louis,others,usa,-1,others,7968,23,6,0
2484,asheville,others,usa,-1,others,350,23,6,0
2499,boulder,others,usa,49,40~60,921,23,6,50
2503,london,england,united kingdom,36,20~40,4732,7,5,37
2515,reus,others,spain,38,20~40,6927,23,4,39
2528,the colony,texas,usa,-1,others,8345,28,6,0
2545,freiburg,baden-wuerttemberg,germany,48,40~60,2876,1,2,49
2549,nice,others,others,31,20~40,5832,23,3,32
2550,montpellier,others,others,-1,others,5378,23,3,0
2552,frankenthal,others,others,-1,others,2845,23,3,0
2559,santa rosa,california,usa,-1,others,7373,5,6,0
2562,wheeling,others,usa,53,40~60,9128,23,6,54
2565,pensacola,others,usa,-1,others,6414,23,6,0
2569,santa rosa,california,usa,-1,others,7373,5,6,0
2578,burlington,ontario,canada,16,0~20,1147,22,1,17
2580,ann arbor,others,usa,-1,others,265,23,6,0
2584,bigfork,others,usa,-1,others,764,23,6,0
2589,shrewsbury,others,usa,-1,others,7634,23,6,0
2590,el cerrito,california,usa,26,20~40,2430,5,6,27
2591,bloomington,others,usa,-1,others,840,23,6,0
2605,marina del rey,california,usa,33,20~40,4991,5,6,34
2611,vero beach,florida,usa,-1,others,8721,8,6,0
2622,los angeles,california,usa,41,40~60,4761,5,6,42
2630,kingsland,texas,usa,66,60~80,4189,28,6,67
2632,farmingdale,new york,usa,47,40~60,2666,18,6,48
2634,addison,texas,usa,53,40~60,71,28,6,54
2638,burnaby,british columbia,canada,-1,others,1148,4,1,0
2640,college station,texas,usa,24,20~40,1743,28,6,25
2643,cedar park,texas,usa,28,20~40,1421,28,6,29
2644,austin,texas,usa,-1,others,403,28,6,0
2651,harlingen,texas,usa,-1,others,3436,28,6,0
2653,los angeles,california,usa,46,40~60,4761,5,6,47
2665,balozi,others,others,-1,others,491,23,3,0
2670,corpus christi,texas,usa,-1,others,1853,28,6,0
2679,weston-super-mare,others,united kingdom,34,20~40,9101,23,5,35
2681,christchurch,others,others,-1,others,1593,23,3,0
2685,monteporzio catone(roma),lazio,others,21,20~40,5358,11,3,22
2687,tucson,others,usa,35,20~40,8518,23,6,36
2690,cordele,others,usa,35,20~40,1838,23,6,36
2700,kenosha,others,usa,29,20~40,4127,23,6,30
2719,staten island,new york,usa,37,20~40,8030,18,6,38
2731,victoria,british columbia,canada,-1,others,8735,4,1,0
2738,milano,lombardia,others,32,20~40,5233,13,3,33
2749,bridge lake,british columbia,canada,18,0~20,1007,4,1,19
2759,woodstock,new york,usa,-1,others,9335,18,6,0
2766,frisco,texas,usa,42,40~60,2896,28,6,43
2770,champaign,others,usa,-1,others,1467,23,6,0
2776,dacula,others,usa,-1,others,1982,23,6,0
2789,barcelona,catalunya,spain,28,20~40,512,6,4,29
2790,san antonio,texas,usa,50,40~60,7277,28,6,51
2793,jefferson,others,usa,34,20~40,3965,23,6,35
2799,eugene,others,usa,-1,others,2590,23,6,0
2844,clinton township,others,usa,-1,others,1675,23,6,0
2850,san diego,california,usa,-1,others,7287,5,6,0
2853,cleveland,others,usa,-1,others,1660,23,6,0
2854,deptford,others,usa,36,20~40,2117,23,6,37
2855,dallas,texas,usa,35,20~40,1994,28,6,36
2859,citrus heights,california,usa,-1,others,1614,5,6,0
2861,columbus,others,usa,26,20~40,1778,23,6,27
2883,pacific grove,california,usa,43,40~60,6262,5,6,44
2891,beaverton,others,usa,-1,others,607,23,6,0
2892,portland,others,usa,26,20~40,6666,23,6,27
2906,paris,ile de france,others,20,0~20,6335,10,3,21
2907,new york,new york,usa,-1,others,5787,18,6,0
2914,san jose,california,usa,34,20~40,7304,5,6,35
