ISBN,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher,Year-Of-Publication-Bin,Book-Author-Encode,Book-Publisher-Encode,Year-Of-Publication-Bin-Encode,Filtered-Title
0345465083,seabiscuit,LAURA HILLENBRAND,2003,Ballantine Books,"[2000, 2020)",3600,111,5,seabiscuit
1558531025,life little instruction book life little instruction book paperback,H. Jackson Brown,1991,Thomas Nelson,"[1980, 2000)",2249,1172,4,life little instruction  life little instruction  
0441783589,starship trooper,Robert A. Heinlein,1987,Ace Books,"[1980, 2000)",5252,12,4,starship trooper
0394895894,ruby smoke sally lockhart trilogy book,PHILIP PULLMAN,1988,Laurel Leaf,"[1980, 2000)",4766,655,4,ruby smoke sally lockhart trilogy
0375410538,anil ghost,MICHAEL ONDAATJE,2000,Knopf,"[2000, 2020)",4026,639,5,anil ghost
087113375X,modern manner etiquette book rude people,P.J. O'Rourke,1990,Atlantic Monthly Press,"[1980, 2000)",4748,85,4,modern manner etiquette  rude people
0340767936,turning thirty,Mike Gayle,2000,Hodder & Stoughton General Division,"[2000, 2020)",4469,565,5,turning thirty
0316769487,catcher rye,J.D. Salinger,1991,"Little, Brown","[1980, 2000)",2507,687,4,catcher rye
8445071408,el senor de los anillos la comunidad del anillo lord ring spanish,J. R. R. Tolkien,2001,Minotauro,"[2000, 2020)",2499,754,5,el senor de los anillos la comunidad del anillo lord ring spanish
8445071769,el senor de los anillos la do torres lord ring paperback,J. R. R. Tolkien,2001,Minotauro,"[2000, 2020)",2499,754,5,el senor de los anillos la do torres lord ring 
8445071777,el senor de los anillos el retorno del rey tolkien j r r lord ring,J. R. R. Tolkien,2001,Distribooks,"[2000, 2020)",2499,313,5,el senor de los anillos el retorno del rey tolkien j r r lord ring
0679429220,midnight garden good evil savannah story,John Berendt,1994,Random House,"[1980, 2000)",3043,961,4,midnight garden good evil savannah
0671867156,pretend see,Mary Higgins Clark,1998,Pocket,"[1980, 2000)",4239,913,4,pretend see
0312252617,fast woman,Jennifer Crusie,2001,St. Martin's Press,"[2000, 2020)",2880,1126,5,fast woman
0312261594,female intelligence,Jane Heller,2001,St. Martin's Press,"[2000, 2020)",2742,1126,5,female intelligence
0316748641,pasquale nose idle day italian town,Michael Rips,2002,Back Bay Books,"[2000, 2020)",4423,102,5,pasquale nose idle day italian town
0446677450,rich dad poor dad rich teach kid money poor middle class,Robert T. Kiyosaki,2000,Warner Books,"[2000, 2020)",5339,1277,5,rich dad poor dad rich teach kid money poor middle class
0451166892,pillar earth,Ken Follett,1996,Signet Book,"[1980, 2000)",3501,1081,4,pillar earth
067976397X,corelli mandolin novel,LOUIS DE BERNIERES,1995,Vintage,"[1980, 2000)",3631,1254,4,corelli mandolin
0786868716,five people meet heaven,Mitch Albom,2003,Hyperion,"[2000, 2020)",4496,579,5,five people meet heaven
0671864769,relic star trek next generation,Michael Jan Friedman,1992,Star Trek,"[1980, 2000)",4392,1130,4,relic star trek next generation
0312953453,blood oath,David Morrell,1994,St. Martin's Press,"[1980, 2000)",1387,1126,4,blood oath
0446608653,alibi,Sandra Brown,2000,Warner Books,"[2000, 2020)",5541,1277,5,alibi
0446612545,beach house,James Patterson,2003,Warner Books,"[2000, 2020)",2694,1277,5,beach house
0446612618,kiss remembered,Sandra Brown,2003,Warner Books,"[2000, 2020)",5541,1277,5,kiss remembered
0451208080,short forever,Stuart Woods,2003,Signet Book,"[2000, 2020)",5816,1081,5,short forever
0553584383,dead aim,IRIS JOHANSEN,2004,Bantam Books,"[2000, 2020)",2415,113,5,dead aim
0671027360,angel demon,Dan Brown,2001,Pocket Star,"[2000, 2020)",1256,916,5,angel demon
0812575954,deal,Joe Hutsko,2000,Tor Books (Mm),"[2000, 2020)",3018,1192,5,deal
0316735736,ever wanted novel,Anita Shreve,2004,Back Bay Books,"[2000, 2020)",304,102,5,ever wanted
0743439740,every breath take true story obsession revenge murder,Ann Rule,2002,Pocket,"[2000, 2020)",319,913,5,every breath take true  obsession revenge murder
0380619458,mosquito coast,Paul Theroux,1990,Harper Mass Market Paperbacks (Mm),"[1980, 2000)",4886,508,4,mosquito coast
0671042858,girl loved tom gordon,Stephen King,2000,Pocket,"[2000, 2020)",5762,913,5,girl loved tom gordon
0743249992,bringing house inside story six student took vega million,Ben Mezrich,2003,Free Press,"[2000, 2020)",585,435,5,bringing house inside  six student took vega million
0425184226,sum fear,Tom Clancy,2002,Berkley Publishing Group,"[2000, 2020)",6107,145,5,sum fear
0375500766,care package letter christopher reeve stranger friend,DANA REEVE,1999,Random House,"[1980, 2000)",1196,961,4,care package letter christopher reeve stranger friend
0060929790,one hundred year solitude,Gabriel Garcia Marquez,1998,Perennial,"[1980, 2000)",2059,878,4,one hundred year solitude
0060976845,little altar everywhere novel,Rebecca Wells,1996,Perennial,"[1980, 2000)",5155,878,4,little altar everywhere
0061099325,coyote wait joe leaphorn jim chee novel,Tony Hillerman,1992,HarperTorch,"[1980, 2000)",6140,528,4,coyote wait joe leaphorn jim chee
0671004573,say good bye,Mary Higgins Clark,2001,Pocket,"[2000, 2020)",4239,913,5,say good bye
0446601640,slow waltz cedar bend,Robert James Waller,1994,Warner Books,"[1980, 2000)",5297,1277,4,slow waltz cedar bend
038572179X,atonement novel,IAN MCEWAN,2003,Anchor,"[2000, 2020)",2414,58,5,atonement
0451410319,hush,Anne Frasier,2002,Onyx Books,"[2000, 2020)",345,818,5,hush
0553583468,whisper evil hooper kay evil trilogy,Kay Hooper,2002,Bantam Books,"[2000, 2020)",3482,113,5,whisper evil hooper kay evil trilogy
0380778556,rebecca,Daphne Du Maurier,1994,Avon,"[1980, 2000)",1301,94,4,rebecca
0451525221,scarlet letter,Nathaniel Hawthorne,1993,Signet Book,"[1980, 2000)",4609,1081,4,scarlet letter
0385336772,diary mad mom,Laura Wolf,2003,Delta,"[2000, 2020)",3690,291,5,diary mad mom
0440949424,locked time laurel leaf book,LOIS DUNCAN,1986,Laure Leaf,"[1980, 2000)",3627,652,4,locked time laurel leaf
0140252800,brimstone wedding,Barbara Vine,1997,Penguin Books Ltd,"[1980, 2000)",546,864,4,brimstone wedding
0812575482,wolf eye wolf,Jane Lindskold,2002,Tor Fantasy,"[2000, 2020)",2746,1194,5,wolf eye wolf
044651747X,puerto vallarta squeeze,Robert James Waller,1995,Warner Books,"[1980, 2000)",5297,1277,4,puerto vallarta squeeze
0060801263,tree grows brooklyn,Betty Smith,1988,Harpercollins Publisher,"[1980, 2000)",647,535,4,tree grows brooklyn
0446527165,wish well,David Baldacci,2000,Warner Books,"[2000, 2020)",1333,1277,5,wish well
0671461494,hitchhiker guide galaxy,Douglas Adams,1982,Pocket,"[1980, 2000)",1594,913,4,hitchhiker guide galaxy
0385337639,crow lake today show book club,Mary Lawson,2003,Delta,"[2000, 2020)",4249,291,5,crow lake today show  club
039575514X,antonia,Willa Cather,1995,Mariner Books,"[1980, 2000)",6335,726,4,antonia
0451206673,pen pal,Olivia Goldsmith,2002,Signet Book,"[2000, 2020)",4711,1081,5,pen pal
0330332775,bridget jones diary,Helen Fielding,1997,Picador (UK),"[1980, 2000)",2339,897,4,bridget jones diary
0486284735,pride prejudice dover thrift edition,Jane Austen,1995,Dover Publications,"[1980, 2000)",2733,329,4,pride prejudice dover thrift edition
0399138684,cat came breakfast cat hardcover,Lilian Jackson Braun,1994,Putnam Pub Group,"[1980, 2000)",3786,952,4,cat came breakfast cat hardcover
0345354931,night mare xanth novel paperback,Piers Anthony,1990,Del Rey Books,"[1980, 2000)",5020,282,4,night mare xanth  
0553278223,martian chronicle,RAY BRADBURY,1984,Spectra,"[1980, 2000)",5056,1115,4,martian chronicle
3257208626,fahrenheit,Ray Bradbury,1994,Distribooks Inc,"[1980, 2000)",5133,314,4,fahrenheit
3257233051,veronika deschliesst zu sterben vernika decides die,Paolo Coelho,2002,Distribooks,"[2000, 2020)",4795,313,5,veronika deschliesst zu sterben vernika decides die
3453212150,die cappuccino jahre au dem tagebuch de adrian mole,Sue Townsend,2002,Heyne,"[2000, 2020)",5827,559,5,die cappuccino jahre au dem tagebuch de adrian mole
3492045642,quersch sse downsize,Michael Moore,2003,Piper,"[2000, 2020)",4407,900,5,quersch sse downsize
3498020862,die korrekturen,Jonathan Franzen,2002,"Rowohlt, Reinbek","[2000, 2020)",3173,1019,5,die korrekturen
3596292646,da buch der l cherlichen liebe,Milan Kundera,2000,"Fischer (Tb.), Frankfurt","[2000, 2020)",4476,421,5,da buch der l cherlichen liebe
0060977493,god small thing,Arundhati Roy,1998,Perennial,"[1980, 2000)",453,878,4,god small thing
0316602906,big bad wolf novel,James Patterson,2003,"Little, Brown","[2000, 2020)",2694,687,5,big bad wolf
0316693006,four blind mouse,James Patterson,2002,"Little, Brown","[2000, 2020)",2694,687,5,four blind mouse
0345311396,private screening,Richard North Patterson,1994,Ballantine Books,"[1980, 2000)",5212,111,4,private screening
0345378490,congo,Michael Crichton,1995,Ballantine Books,"[1980, 2000)",4370,111,4,congo
0345404793,protect defend,Richard North Patterson,2001,Ballantine Books,"[2000, 2020)",5212,111,5,protect defend
0375400117,memoir geisha,Arthur Golden,1997,Alfred A. Knopf,"[1980, 2000)",441,39,4,memoir geisha
0375705856,plainsong vintage contemporary,KENT HARUF,2000,Vintage,"[2000, 2020)",3353,1254,5,plainsong vintage contemporary
0380717018,body evidence kay scarpetta mystery paperback,Patricia D. Cornwell,1992,Avon,"[1980, 2000)",4812,94,4,body evidence kay scarpetta mystery 
0380718332,remains kay scarpetta mystery paperback,Patricia D. Cornwell,1993,Avon,"[1980, 2000)",4812,94,4,remains kay scarpetta mystery 
038076654X,petal river,Kathleen E. Woodiwiss,1997,Avon Trade,"[1980, 2000)",3452,96,4,petal river
0380807866,elusive flame,Kathleen E. Woodiwiss,1999,Avon,"[1980, 2000)",3452,94,4,elusive flame
0385316895,legacy silence,Belva Plain,1998,Bantam Dell Pub Group,"[1980, 2000)",579,117,4,legacy silence
0385497466,brother,JOHN GRISHAM,2000,Doubleday,"[2000, 2020)",2556,325,5,brother
0385508042,king tort,John Grisham,2003,Doubleday Books,"[2000, 2020)",3079,326,5,king tort
0385509456,curious incident dog night time novel,MARK HADDON,2003,Doubleday,"[2000, 2020)",4004,325,5,curious incident dog night time
0385511612,bleacher,John Grisham,2003,Doubleday,"[2000, 2020)",3079,325,5,bleacher
0385730586,sisterhood traveling pant,ANN BRASHARES,2003,Delacorte Books for Young Readers,"[2000, 2020)",54,284,5,sisterhood traveling pant
0425164403,love magical love,Erich Segal,1998,Berkley Publishing Group,"[1980, 2000)",1863,145,4,love magical love
0446605484,rose red alex cross novel,James Patterson,2001,Warner Vision,"[2000, 2020)",2694,1284,5,rose red alex cross
0446610399,rescue,Nicholas Sparks,2001,Warner Books,"[2000, 2020)",4650,1277,5,rescue
0449006522,manhattan hunt club,JOHN SAUL,2002,Ballantine Books,"[2000, 2020)",2564,111,5,manhattan hunt club
0449911004,patty jane house curl ballantine reader circle,LORNA LANDVIK,1996,Ballantine Books,"[1980, 2000)",3629,111,4,patty jane house curl ballantine reader circle
0451162072,pet sematary,Stephen King,1994,Signet Book,"[1980, 2000)",5762,1081,4,pet sematary
0451186648,silent snow,Steve Thayer,2000,Signet Book,"[2000, 2020)",5793,1081,5,silent snow
0452282152,girl pearl earring,Tracy Chevalier,2001,Plume Books,"[2000, 2020)",6158,911,5,girl pearl earring
051513290X,summer storm,Judith Kelman,2002,Jove Books,"[2000, 2020)",3255,625,5,summer storm
0553580388,patient,Michael Palmer,2001,Bantam Books,"[2000, 2020)",4415,113,5,patient
0590629719,clifford sport day,Norman Bridwell,1996,Scholastic,"[1980, 2000)",4687,1048,4,clifford sport day
0671023616,postmortem kay scarpetta mystery paperback,Patricia Cornwell,1998,Pocket,"[1980, 2000)",4811,913,4,postmortem kay scarpetta mystery 
0671027387,deception point,Dan Brown,2002,Pocket,"[2000, 2020)",1256,913,5,deception point
0684848783,ti memoir,Frank McCourt,1999,Scribner,"[1980, 2000)",1996,1062,4,ti memoir
0743486226,angel demon,Dan Brown,2003,Atria,"[2000, 2020)",1256,86,5,angel demon
0786863986,monk swimming,Malachy McCourt,1998,Hyperion,"[1980, 2000)",4056,579,4,monk swimming
0804117934,silent cry william monk novel paperback,Anne Perry,1998,Ivy Books,"[1980, 2000)",363,608,4,silent cry william monk  
140003180X,kalahari typing school men lady detective agency,ALEXANDER MCCALL SMITH,2004,Anchor,"[2000, 2020)",36,58,5,kalahari typing school men lady detective agency
155874262X,chicken soup soul chicken soup soul,Jack Canfield,1993,Health Communications,"[1980, 2000)",2589,551,4,chicken soup soul chicken soup soul
0060987103,wicked life time wicked witch west,Gregory Maguire,1996,Regan Books,"[1980, 2000)",2225,992,4,wicked life time wicked witch west
0151008116,life pi,Yann Martel,2002,Harcourt,"[2000, 2020)",6412,492,5,life pi
0375704965,judgement stone,Ruth Rendell,2000,Vintage Books USA,"[2000, 2020)",5451,1257,5,judgement stone
0525947647,lie lying liar tell fair balanced look right,Al Franken,2003,Dutton Books,"[2000, 2020)",107,339,5,lie lying liar tell fair balanced look right
0804111359,secret history,DONNA TARTT,1993,Ballantine Books,"[1980, 2000)",1238,111,4,secret history
1558744150,chicken soup woman soul chicken soup soul series paper,Jack Canfield,1996,Health Communications,"[1980, 2000)",2589,551,4,chicken soup woman soul chicken soup soul series paper
0316782505,weight water,Anita Shreve,2001,"Little, Brown","[2000, 2020)",304,687,5,weight water
006102063X,moving picture discworld novel paperback,Terry Pratchett,2002,HarperTorch,"[2000, 2020)",6009,528,5,moving picture discworld  
0060013117,night watch,Terry Pratchett,2002,HarperCollins,"[2000, 2020)",6009,514,5,night watch
0060199563,thief time,Terry Pratchett,2001,HarperCollins Publishers,"[2000, 2020)",6009,518,5,thief time
0060563079,peter pan original story peter pan,J. M. Barrie,2003,HarperFestival,"[2000, 2020)",2490,521,5,peter pan original  peter pan
0064472264,bright side girlfriend sex god confession georgia nicolson,Louise Rennison,2002,HarperTempest,"[2000, 2020)",3909,527,5,bright side girlfriend sex god confession georgia nicolson
0140620664,mansfield park penguin popular classic,Jane Austen,1994,Penguin Books Ltd,"[1980, 2000)",2733,864,4,mansfield park penguin popular classic
0312156960,winter king novel arthur warlord chronicle,Bernard Cornwell,1997,St. Martin's Griffin,"[1980, 2000)",605,1123,4,winter king  arthur warlord chronicle
0312890044,moonheart newford,Charles de Lint,1994,Orb Books,"[1980, 2000)",1009,820,4,moonheart newford
0375751513,picture dorian gray modern library paperback,OSCAR WILDE,1998,Modern Library,"[1980, 2000)",4702,762,4,picture dorian gray modern library 
037582345X,golden compass dark material book,PHILIP PULLMAN,2002,Knopf Books for Young Readers,"[2000, 2020)",4766,640,5,golden compass dark material
0380730448,adrian mole diary secret diary adrian mole aged growing pain adrian mole,Sue Townsend,1997,Perennial,"[1980, 2000)",5827,878,4,adrian mole diary secret diary adrian mole aged growing pain adrian mole
0439510112,born confused,Tanuja Desai Hidier,2003,Push,"[2000, 2020)",5974,949,5,born confused
0440241413,confession shopaholic,SOPHIE KINSELLA,2003,Dell,"[2000, 2020)",5489,287,5,confession shopaholic
0451409256,making minty malone,Isabel Wolff,2000,Onyx Books,"[2000, 2020)",2463,818,5,making minty malone
0451523415,little woman signet classic,Louisa May Alcott,1988,Signet Classics,"[1980, 2000)",3900,1083,4,little woman signet classic
0451526279,emma signet classic paperback,Jane Austen,1996,Signet Classics,"[1980, 2000)",2733,1083,4,emma signet classic 
0451526341,animal farm,George Orwell,2004,Signet,"[2000, 2020)",2132,1080,5,animal farm
0553280589,eva luna,Isabel Allende,1989,Bantam Books,"[1980, 2000)",2460,113,4,eva luna
0571197639,poisonwood bible edition uk,Barbara Kingsolver,1900,Faber Faber Inc,"[1900, 1920)",527,398,0,poisonwood bible edition uk
0679751343,angel insect two novella,A.S. BYATT,1994,Vintage,"[1980, 2000)",26,1254,4,angel insect two novella
0684833395,catch,Joseph Heller,1996,Simon & Schuster,"[1980, 2000)",3209,1087,4,catch
1563898586,league extraordinary gentleman vol,Alan Moore,2002,DC Comics,"[2000, 2020)",127,273,5,league extraordinary gentleman vol
156971620X,harlequin valentine,Neil Gaiman,2002,Dark Horse Comics,"[2000, 2020)",4619,277,5,harlequin valentine
0374270325,man full,Tom Wolfe,1998,Farrar Straus & Giroux,"[1980, 2000)",6127,405,4,man full
0375719180,miracle life edgar mint novel,Brady Udall,2002,Vintage Books USA,"[2000, 2020)",721,1257,5,miracle life edgar mint
0440235502,october sky memoir,Homer Hickam,1999,Dell,"[1980, 2000)",2387,287,4,october sky memoir
044023722X,painted house,John Grisham,2001,Dell Publishing Company,"[2000, 2020)",3079,290,5,painted house
1573225487,romance reader,Pearl Abraham,1996,Riverhead Books,"[1980, 2000)",4903,1003,4,romance reader
1853260673,far madding crowd wordsworth classic,Thomas Hardy,1997,NTC/Contemporary Publishing Company,"[1980, 2000)",6037,775,4,far madding crowd wordsworth classic
0060977477,perfect storm true story men sea,Sebastian Junger,1999,Perennial,"[1980, 2000)",5608,878,4,perfect storm true  men sea
0345391691,battle god,Karen Armstrong,2001,Ballantine Books,"[2000, 2020)",3370,111,5,battle god
0553278746,postman bantam classic,David Brin,1990,Spectra Books,"[1980, 2000)",1343,1116,4,postman bantam classic
0972044205,breach,Brian Kaufman,2002,Last Knight Pub Co,"[2000, 2020)",749,650,5,breach
0312963009,neanderthal novel,John Darnton,1997,St. Martin's Press,"[1980, 2000)",3059,1126,4,neanderthal
0345435869,rivan codex ancient text belgariad malloreon,DAVID EDDINGS,1999,Del Rey,"[1980, 2000)",1210,281,4,rivan codex ancient text belgariad malloreon
0380728729,babyhood,Paul Reiser,1998,Avon,"[1980, 2000)",4882,94,4,babyhood
0449912302,dave barry cyberspace,Dave Barry,1997,Ballantine Books,"[1980, 2000)",1317,111,4,dave barry cyberspace
0812541642,waiting,Frank M. Robinson,2000,Tor Books,"[2000, 2020)",1995,1191,5,waiting
0486282112,frankenstein dover thrift edition,Mary Wollstonecraft Shelley,1994,Dover Publications,"[1980, 2000)",4271,329,4,frankenstein dover thrift edition
0684193957,remains,Patricia Cornwell,1992,Scribner,"[1980, 2000)",4811,1062,4,remains
0345371984,last chance see,Douglas Adams,1992,Ballantine Books,"[1980, 2000)",1594,111,4,last chance see
0380730138,vinegar hill oprah book club paperback,A. Manette Ansay,1998,Perennial,"[1980, 2000)",12,878,4,vinegar hill oprah  club 
1573228737,affinity,Sarah Waters,2002,Riverhead Books,"[2000, 2020)",5578,1003,5,affinity
9681500555,diario de ana frank,Anne Frank,2000,"Editores Mexicanos Unidos, S.A.","[2000, 2020)",344,365,5,diario de ana frank
0452283914,best democracy money buy truth corporate con globalization high finance fraudsters,Greg Palast,2003,Plume Books,"[2000, 2020)",2217,911,5,best democracy money buy truth corporate con globalization high finance fraudsters
0425120279,hunt red october,Tom Clancy,1990,Berkley Publishing Group,"[1980, 2000)",6107,145,4,hunt red october
0380728273,liberty falling anna pigeon mystery paperback,Nevada Barr,2000,Avon,"[2000, 2020)",4629,94,5,liberty falling anna pigeon mystery 
8433914545,el palacio de la luna,Paul Auster,1996,Anagrama,"[1980, 2000)",4857,56,4,el palacio de la luna
0446606197,killer market deborah knott mystery paperback,Margaret Maron,1999,Warner Books,"[1980, 2000)",4104,1277,4,killer market deborah knott mystery 
3596214629,herr der fliegen fiction poetry drama,Golding,1900,Fischer Taschenbuch Verlag GmbH,"[1900, 1920)",2189,423,0,herr der fliegen fiction poetry drama
0060188731,bel canto,Ann Patchett,2001,HarperCollins Publishers,"[2000, 2020)",315,518,5,bel canto
0140374248,james giant peach,Roald Dahl,2000,Penguin USA (Paper),"[2000, 2020)",5246,874,5,james giant peach
0142001740,secret life bee,Sue Monk Kidd,2003,Penguin Books,"[2000, 2020)",5825,860,5,secret life bee
0312995423,digital fortress thriller,Dan Brown,2003,St. Martin's Press,"[2000, 2020)",1256,1126,5,digital fortress thriller
0380704587,lady missalonghi,Colleen McCullough,1988,Avon,"[1980, 2000)",1131,94,4,lady missalonghi
0380815923,blackberry wine novel,Joanne Harris,2001,Perennial,"[2000, 2020)",3002,878,5,blackberry wine
0385416342,firm,John Grisham,1991,Doubleday Books,"[1980, 2000)",3079,326,4,firm
0385418493,irish saved civilization untold story ireland heroic role fall rome rise medieval europe hinge history,Thomas Cahill,1996,Anchor,"[1980, 2000)",6033,58,4,irish saved civilization untold  ireland heroic role fall rome rise medieval europe hinge history
038542471X,client,John Grisham,1993,Doubleday Books,"[1980, 2000)",3079,326,4,client
0449005410,horse heaven ballantine reader circle,Jane Smiley,2001,Ballantine Books,"[2000, 2020)",2754,111,5,horse heaven ballantine reader circle
0449207544,proof,Dick Francis,1990,Fawcett Books,"[1980, 2000)",1507,410,4,proof
0515128554,heart sea irish trilogy,Nora Roberts,2000,Jove Books,"[2000, 2020)",4684,625,5,heart sea irish trilogy
0517577402,mostly harmless,Douglas Adams,1992,Random House Inc,"[1980, 2000)",1594,970,4,mostly harmless
0590481371,spy spooky night book picture riddle spy book,Walter Wick,1996,Scholastic,"[1980, 2000)",6300,1048,4,spy spooky night  picture riddle spy
067103619X,lake news,Barbara Delinsky,2000,Pocket,"[2000, 2020)",513,913,5,lake news
0743411269,accidental woman,Barbara Delinsky,2003,Pocket Books,"[2000, 2020)",513,915,5,accidental woman
0743470389,snow garden,Christopher Rice,2004,Pocket Star,"[2000, 2020)",1086,916,5,snow garden
0767905938,year sea thought unfinished woman,Joan Anderson,2000,Broadway Books,"[2000, 2020)",2978,193,5,year sea thought unfinished woman
0156528207,little prince,Antoine de Saint-ExupÃÂ©ry,1968,Harcourt,"[1960, 1980)",400,492,3,little prince
0380012863,jonathan livingston seagull,Richard Bach,1976,Avon,"[1960, 1980)",5185,94,3,jonathan livingston seagull
0875421288,complete book incense oil brew llewellyn practical magick,"Scott, Cunningham",1989,Llewellyn Publications,"[1980, 2000)",5598,692,4,complete  incense oil brew llewellyn practical magick
0451527747,alice adventure wonderland looking glass,Lewis Carroll,2000,Signet Classics,"[2000, 2020)",3779,1083,5,alice adventure wonderland looking glass
0671867113,moonlight becomes,Mary Higgins Clark,1997,Pocket,"[1980, 2000)",4239,913,4,moonlight becomes
0812504208,adventure tom sawyer,Mark Twain,1989,Tor Books,"[1980, 2000)",4180,1191,4,adventure tom sawyer
0060173289,divine secret ya ya sisterhood novel,Rebecca Wells,1996,HarperCollins,"[1980, 2000)",5155,514,4,divine secret ya ya sisterhood
0060973897,lakota woman,Dog Mary Crow,1991,Perennial,"[1980, 2000)",1521,878,4,lakota woman
006101351X,perfect storm true story men sea,Sebastian Junger,1998,HarperTorch,"[1980, 2000)",5608,528,4,perfect storm true  men sea
0316666343,lovely bone novel,Alice Sebold,2002,"Little, Brown","[2000, 2020)",182,687,5,lovely bone
0440224675,hannibal,Thomas Harris,2000,Dell Publishing Company,"[2000, 2020)",6038,290,5,hannibal
0449002632,london novel,EDWARD RUTHERFURD,1998,Fawcett,"[1980, 2000)",1642,409,4,london
0449213773,life man,Margaret Atwood,1990,Fawcett Books,"[1980, 2000)",4091,410,4,life man
0452279690,cavedweller,Dorothy Allison,1999,Plume Books,"[1980, 2000)",1576,911,4,cavedweller
0553569058,robber bride,Margaret Atwood,1995,Bantam,"[1980, 2000)",4091,112,4,robber bride
0679427430,take nothing journey,MAYA ANGELOU,1993,Random House,"[1980, 2000)",4019,961,4,take nothing journey
1573225126,prozac nation young depressed america memoir,Elizabeth Wurtzel,1997,Riverhead Books,"[1980, 2000)",1788,1003,4,prozac nation young depressed america memoir
